YEAR,MONTH,BENE_STATE_ABRVTN,BENE_STATE_DESC,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,ma_penetration
2013,April,AR,Arkansas,569547.0,465481.0,104066.0,0.1827171418688888
2013,April,CA,California,5254463.0,3298048.0,1956415.0,0.37233395686676257
2013,April,CO,Colorado,713800.0,463871.0,249929.0,0.35013869431213224
2013,April,CT,Connecticut,604694.0,465737.0,138957.0,0.22979721975081613
2013,April,DE,Delaware,166543.0,154782.0,11761.0,0.07061839885194815
2013,April,DC,District of Columbia,83323.0,74426.0,8897.0,0.10677724037780685
2013,April,FL,Florida,3730600.0,2408183.0,1322417.0,0.3544783680909237
2013,April,GA,Georgia,1400845.0,1040313.0,360532.0,0.25736751746267433
2013,April,HI,Hawaii,227773.0,123636.0,104137.0,0.4571964192419646
2013,April,ID,Idaho,257986.0,180105.0,77881.0,0.30188072220973233
2013,April,IL,Illinois,1971474.0,1752307.0,219167.0,0.11116910494381362
2013,April,IN,Indiana,1087301.0,855298.0,232003.0,0.21337513715153394
2013,April,IA,Iowa,546185.0,468733.0,77452.0,0.1418054322253449
2013,April,KS,Kansas,463115.0,404353.0,58762.0,0.126884251211902
2013,April,KY,Kentucky,821683.0,633464.0,188219.0,0.22906522344991925
2013,April,LA,Louisiana,742507.0,545765.0,196742.0,0.26496989253973363
2013,April,ME,Maine,289210.0,238111.0,51099.0,0.17668476193769234
2013,April,MD,Maryland,868881.0,794385.0,74496.0,0.08573786283737359
2013,April,MA,Massachusetts,1149612.0,937894.0,211718.0,0.18416474427893934
2013,April,MI,Michigan,1793273.0,1306524.0,486749.0,0.2714305072345371
2013,April,MN,Minnesota,857365.0,434554.0,422811.0,0.49315169151994775
2013,April,MS,Mississippi,532278.0,466136.0,66142.0,0.12426213369705304
2013,April,MO,Missouri,1080062.0,813789.0,266273.0,0.24653492114341585
2013,April,MT,Montana,186859.0,157699.0,29160.0,0.15605349488116707
2013,April,NE,Nebraska,296693.0,260561.0,36132.0,0.12178244852423212
2013,April,NV,Nevada,409957.0,282389.0,127568.0,0.31117409874694174
2013,April,NH,New Hampshire,244362.0,230530.0,13832.0,0.056604545714963865
2013,April,NJ,New Jersey,1423470.0,1196521.0,226949.0,0.15943363751958242
2013,April,NM,New Mexico,345166.0,244687.0,100479.0,0.29110341111233434
2013,April,NY,New York,3191918.0,2120239.0,1071679.0,0.33574766018425284
2013,April,NC,North Carolina,1650108.0,1313516.0,336592.0,0.2039817999791529
2013,April,ND,North Dakota,112958.0,97721.0,15237.0,0.13489084438463853
2013,April,OH,Ohio,2044708.0,1282689.0,762019.0,0.37267864164467496
2013,April,OK,Oklahoma,647968.0,542392.0,105576.0,0.16293397204800236
2013,April,OR,Oregon,693393.0,402455.0,290938.0,0.4195860067811472
2013,April,PA,Pennsylvania,2425182.0,1477054.0,948128.0,0.39095127705879396
2013,April,RI,Rhode Island,194457.0,126158.0,68299.0,0.3512293206210113
2013,April,SC,South Carolina,867238.0,695359.0,171879.0,0.19819126929401157
2013,April,SD,South Dakota,146324.0,125212.0,21112.0,0.14428255105109208
2013,April,TN,Tennessee,1161974.0,815252.0,346722.0,0.29839049754985913
2013,April,TX,Texas,3357303.0,2450841.0,906462.0,0.2699970780117255
2013,April,UT,Utah,317431.0,213428.0,104003.0,0.3276397075269901
2013,April,VT,Vermont,122840.0,113927.0,8913.0,0.07255779876261804
2013,April,VA,Virginia,1259721.0,1070427.0,189294.0,0.15026660665337802
2013,April,WA,Washington,1090996.0,779926.0,311070.0,0.2851247850587903
2013,April,WV,West Virginia,401859.0,309519.0,92340.0,0.2297820877471949
2013,April,WI,Wisconsin,987167.0,656204.0,330963.0,0.3352654616696061
2013,April,WY,Wyoming,87987.0,84717.0,3270.0,0.03716458113130349
2013,April,AS,American Samoa,3745.0,3630.0,115.0,0.030707610146862484
2013,April,GU,Guam,13456.0,13408.0,48.0,0.0035671819262782403
2013,April,MP,Northern Mariana Islands,1858.0,,,
2013,April,PR,Puerto Rico,706765.0,194008.0,512757.0,0.7254985744908138
2013,April,VI,Virgin Islands,17705.0,17561.0,144.0,0.008133295679186671
2013,April,UK,Unknown,,,,
2013,April,FO,Foreign and Other Outlying Areas,391990.0,390268.0,1722.0,0.004392969208398174
2013,May,AL,Alabama,917246.0,708495.0,208751.0,0.22758453021326885
2013,May,AK,Alaska,75596.0,75020.0,576.0,0.007619450764590719
2013,May,AZ,Arizona,1044598.0,655694.0,388904.0,0.37230015757257817
2013,May,AR,Arkansas,570283.0,465747.0,104536.0,0.18330548166436664
2013,May,CA,California,5270119.0,3304982.0,1965137.0,0.3728828514118941
